DY
556
43
AvgCyclomatic;AvgCyclomaticModified;AvgCyclomaticStrict;AvgEssential;AvgLine;AvgLineBlank;AvgLineCode;AvgLineComment;CountClassBase;CountClassCoupled;CountClassDerived;CountDeclClassMethod;CountDeclClassVariable;CountDeclInstanceMethod;CountDeclInstanceVariable;CountDeclMethod;CountDeclMethodAll;CountDeclMethodDefault;CountDeclMethodPrivate;CountDeclMethodProtected;CountDeclMethodPublic;CountLine;CountLineBlank;CountLineCode;CountLineCodeDecl;CountLineCodeExe;CountLineComment;CountSemicolon;CountStmt;CountStmtDecl;CountStmtExe;MaxCyclomatic;MaxCyclomaticModified;MaxCyclomaticStrict;MaxEssential;MaxInheritanceTree;MaxNesting;PercentLackOfCohesion;RatioCommentToCode;SumCyclomatic;SumCyclomaticModified;SumCyclomaticStrict;SumEssential
Control;2.0;2.0;2.0;1.0;50.0;9.0;21.0;20.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;60.0;11.0;23.0;9.0;17.0;26.0;13.0;16.0;8.0;8.0;2.0;2.0;2.0;1.0;1.0;1.0;0.0;1.13;2.0;2.0;2.0;1.0;0
Counter;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;5.0;1.0;5.0;122.0;0.0;0.0;0.0;5.0;25.0;6.0;13.0;12.0;5.0;6.0;6.0;12.0;8.0;4.0;1.0;1.0;1.0;1.0;2.0;0.0;70.0;0.46;5.0;5.0;5.0;5.0;0
CounterTest;1.0;1.0;1.0;1.0;26.0;5.0;21.0;0.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;42.0;7.0;23.0;6.0;17.0;12.0;13.0;16.0;6.0;10.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.52;1.0;1.0;1.0;1.0;0
DynamicScopes;3.0;3.0;3.0;1.0;51.0;1.0;23.0;26.0;1.0;6.0;0.0;2.0;1.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;1.0;164.0;15.0;85.0;25.0;52.0;64.0;39.0;54.0;24.0;30.0;5.0;5.0;5.0;1.0;1.0;2.0;50.0;0.75;6.0;6.0;6.0;2.0;0
Foo;1.0;1.0;1.0;1.0;12.0;0.0;4.0;7.0;1.0;4.0;0.0;1.0;1.0;5.0;1.0;6.0;123.0;0.0;0.0;0.0;6.0;132.0;7.0;37.0;15.0;15.0;88.0;16.0;25.0;11.0;14.0;3.0;3.0;3.0;1.0;2.0;2.0;75.0;2.38;8.0;8.0;8.0;6.0;0
Matrix;1.0;1.0;1.0;1.0;9.0;0.0;4.0;5.0;2.0;2.0;0.0;0.0;0.0;18.0;4.0;18.0;18.0;0.0;0.0;0.0;18.0;204.0;21.0;84.0;27.0;39.0;99.0;33.0;59.0;27.0;32.0;4.0;4.0;4.0;3.0;1.0;2.0;87.0;1.18;25.0;25.0;25.0;20.0;0
PrimitiveWrapFactory;3.0;3.0;5.0;3.0;13.0;0.0;13.0;0.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;7.0;0.0;0.0;0.0;1.0;32.0;0.0;16.0;5.0;7.0;16.0;4.0;8.0;3.0;5.0;3.0;3.0;5.0;3.0;2.0;1.0;0.0;1.0;3.0;3.0;5.0;3.0;0
RunScript;2.0;2.0;2.0;1.0;28.0;4.0;15.0;9.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;37.0;4.0;17.0;6.0;10.0;16.0;9.0;13.0;7.0;6.0;2.0;2.0;2.0;1.0;1.0;2.0;0.0;0.94;2.0;2.0;2.0;1.0;0
RunScript2;2.0;2.0;2.0;1.0;21.0;2.0;17.0;2.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;28.0;3.0;19.0;7.0;12.0;6.0;11.0;15.0;8.0;7.0;2.0;2.0;2.0;1.0;1.0;2.0;0.0;0.32;2.0;2.0;2.0;1.0;0
RunScript3;4.0;4.0;4.0;1.0;38.0;4.0;30.0;4.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;47.0;4.0;32.0;11.0;23.0;11.0;18.0;24.0;12.0;12.0;4.0;4.0;4.0;1.0;1.0;2.0;0.0;0.34;4.0;4.0;4.0;1.0;0
